#NAME,SampleType
16S-ALA0610,bacteria
16S-ALA2330,bacteria
16S-Positive2-Plate2-Core-JA-8271,positive
16S-Positive1-Plate1-Core-JA-8271,positive
16S-DTC4,bacteria
16S-MLH0150,bacteria
16S-DSC1,bacteria
16S-DSD1,bacteria
16S-DSP1,bacteria
16S-DTC5,bacteria
16S-DTC6,bacteria
16S-DTD4,bacteria
16S-DTP4,bacteria
16S-DTP9,bacteria
16S-PMF0822,bacteria
16S-U1210,bacteria
16S-Z0800,bacteria
16S-Z1410,bacteria
16S-Positive1-Plate2-Core-JA-8271,positive
16S-ALA0822,bacteria
16S-ALA1810,bacteria
16S-ALA1922,bacteria
16S-DSC2,bacteria
16S-DSD2,bacteria
16S-DTC1,bacteria
16S-DTC2,bacteria
16S-DTC3,bacteria
16S-DTC7,bacteria
16S-DTC8,bacteria
16S-DTC9,bacteria
16S-DTD1,bacteria
16S-DTD2,bacteria
16S-DTD3,bacteria
16S-DTD5,bacteria
16S-DTD6,bacteria
16S-DTD7,bacteria
16S-DTD8,bacteria
16S-DTD9,bacteria
16S-DTP1,bacteria
16S-DTP2,bacteria
16S-DTP3,bacteria
16S-DTP5,bacteria
16S-DTP6,bacteria
16S-DTP7,bacteria
16S-DTP8,bacteria
16S-EF0600,bacteria
16S-EF0900,bacteria
16S-EF1145,bacteria
16S-EF1245,bacteria
16S-EF1355,bacteria
16S-EF1545,bacteria
16S-EF1850,bacteria
16S-EF1955,bacteria
16S-EF2055,bacteria
16S-EF2400,bacteria
16S-M330532,bacteria
16S-M331732,bacteria
16S-M331948,bacteria
16S-M332032,bacteria
16S-M332150,bacteria
16S-MLH0545,bacteria
16S-MLH1030,bacteria
16S-MLH1450,bacteria
16S-MLH1554,bacteria
16S-MLH1656,bacteria
16S-MLH1802,bacteria
16S-MLH2200,bacteria
16S-PMF0152,bacteria
16S-PMF0604,bacteria
16S-PMF0705,bacteria
16S-PMF1120,bacteria
16S-PMF1221,bacteria
16S-PMF1502,bacteria
16S-PMF1945,bacteria
16S-PMF2130,bacteria
16S-U0155,bacteria
16S-U0455,bacteria
16S-U0650,bacteria
16S-U0930,bacteria
16S-U1105,bacteria
16S-U1410,bacteria
16S-U1610,bacteria
16S-U1946,bacteria
16S-U2055,bacteria
16S-VS0145,bacteria
16S-VS0545,bacteria
16S-VS1215,bacteria
16S-VS1645,bacteria
16S-VS1945,bacteria
16S-Z0500,bacteria
16S-Z1000,bacteria
16S-Z1010,bacteria
16S-Z1210,bacteria
16S-Z1520,bacteria
16S-Z1640,bacteria
16S-Z1720,bacteria
16S-Z1830,bacteria
16S-Z2030,bacteria
16S-Z2230,bacteria
16S-M1555-3-ul,bacteria
16S-VS0730,bacteria
16S-Positive2-Plate1-Core-JA-8271,positive
16S-M2254,bacteria
16S-MLH1315,bacteria
16S-Negative2-Plate1-Core-JA-8271,negative
16S-Negative2-Plate2-Core-JA-8271,negative
16S-DSD3,bacteria
16S-DSP2,bacteria
16S-DSP3,bacteria
16S-Negative1-Plate1-Core-JA-8271,negative
16S-DSC3,bacteria
16S-Negative1-Plate2-Core-JA-8271,negative